time,observed_power,desired_power,drum_1,drum_2,drum_3,drum_4,drum_5,drum_6,drum_7,drum_8,actual_power,c1,c2,c3,c4,c5,c6,Tf,Tm,Tc,Xe,I,diff
13.0,0.9998591331876224,0.994,77.8078058335348,77.82813756582327,77.7782311853487,77.74615134829655,77.81155996561283,77.79795930460095,77.81974675711244,77.78712604143657,0.9998591331876224,1.0000023166850371,1.0000034065119547,0.9999901229353537,0.99994482382832,0.9998825247733621,0.999872412245904,832.398745718401,830.2215084998775,814.349077572757,1.021127209811113e+19,1.1698434488739858e+19,0.5859133187622434
14.0,0.9998259052532601,0.992,77.80840061792405,77.83029952943325,77.7765600740211,77.74201557477936,77.81244759635301,77.79780028732493,77.82126519440207,77.78614211322274,0.9998259052532601,1.000000303423273,0.9999983945943454,0.9999739827576463,0.9999174046870195,0.9998501226516336,0.9998389928920726,832.3981823813684,830.2214323505799,814.3490696455628,1.0211272117310996e+19,1.1698434436048636e+19,0.7825905253260101
15.0,0.9997915207941184,0.99,77.80899380934424,77.83246082388796,77.77488991194404,77.73788160895928,77.81333470916142,77.79764067051,77.82278350573033,77.78516001086682,0.9997915207941184,0.9999978880367159,0.9999924823503378,0.9999559042197275,0.99988826494464,0.9998165512569079,0.9998049158448677,832.3975923249361,830.2213266296245,814.349055793644,1.0211272140646525e+19,1.1698434372001792e+19,0.979152079411838
16.0,0.9997561755896128,0.988,77.80958540861029,77.8346214484889,77.77322070004884,77.73374945828691,77.81422130322316,77.79748045345768,77.82430169086437,77.78417973483447,0.9997561755896128,0.999995062130644,0.9999856645991748,0.9999359829145592,0.9998575800154982,0.9997818910807479,0.9997695369949927,832.3969759109923,830.2211917102826,814.349034590889,1.021127216824769e+19,1.169843429624163e+19,1.1756175589612838
17.0,0.9997199565861231,0.986,77.81017541694455,77.8367814025376,77.77155244008172,77.72961912835017,77.81510737719945,77.79731963512022,77.82581974992063,77.78320128710475,0.9997199565861231,0.9999918190613785,0.9999779403858297,0.999914318182351,0.999825512976389,0.9997462592031301,0.9997331005284896,832.3963338007213,830.2210279633634,814.3490048425016,1.0211272200228526e+19,1.169843420845416e+19,1.3719956586123128
18.0,0.9996829470149396,0.984,77.81076383405598,77.8389406858012,77.76988513378892,77.72549062659964,77.8159929295769,77.79715821503196,77.82733768313192,77.78222466930747,0.9996829470149396,0.9999881534867452,0.9999693117956749,0.9998910090552983,0.9997922092262796,0.9997097601668019,0.999695791437189,832.3956666634424,830.2208357633051,814.3489655522334,1.0211272236691282e+19,1.1698434108357745e+19,1.5682947014939663
19.0,0.9996452261792992,0.982,77.81135065907146,77.84109929827973,77.76821878268383,77.72136396002024,77.8168779597152,77.79699619284365,77.82885549026541,77.78124988249037,0.9996452261792992,0.999984061243375,0.9999597835962797,0.999866153359126,0.9997577988794947,0.9996724875594475,0.9996577473880037,832.3949751815052,830.2206154909417,814.3489158945528,1.0211272277727435e+19,1.1698433995700263e+19,1.76452261792992
20.0,0.9996068685724901,0.98,77.81193589315517,77.84325723880902,77.76655338793061,77.71723913419991,77.81776246679946,77.79683356867172,77.83037317248527,77.78027692805044,0.9996068685724901,0.9999795392387353,0.9999493629231957,0.9998398470314931,0.9997223988295499,0.9996345257803049,0.99961907551462,832.3942600520307,830.2203675357528,814.3488551909663,1.02112723234186e+19,1.1698433870256652e+19,1.9606868572490166
21.0,0.9995679333568904,0.981,77.8125219693291,77.84541543824598,77.76488754299935,77.71311350790783,77.81864733593538,77.79667129409499,77.83189087787177,77.77930303204339,0.9995679333568904,0.9999745853082127,0.999938058885558,0.9998121831958398,0.9996861134631598,0.999595948130394,0.9995798600430357,832.3935219531329,830.2200922967648,814.3487828898463,1.021127237383778e+19,1.1698433731825463e+19,1.8567933356890443
22.0,0.9995284791847677,0.982,77.81310888817534,77.84757389612496,77.76322124870494,77.70898708254099,77.8195325674722,77.79650936992839,77.83340860723983,77.7783281951095,0.9995284791847677,0.9999691980398223,0.9999258821005373,0.9997832510597037,0.9996490345938436,0.9995568157250987,0.9995401619343441,832.392761502698,830.2197901798926,814.3486985490383,1.0211272429050952e+19,1.1698433580224524e+19,1.7528479184767742
