time,observed_power,desired_power,drum_1,drum_2,drum_3,drum_4,drum_5,drum_6,drum_7,drum_8,actual_power,c1,c2,c3,c4,c5,c6,Tf,Tm,Tc,Xe,I,diff
903.0,0.9988336453551901,1.0,180.0,130.2694652967155,0.0,180.0,66.0010165899992,0.0,0.0,21.32335576415062,0.9988336453551901,0.999317914634192,0.9988491085400009,0.9988274533491942,0.9988305839806096,0.9988328720837274,0.9988347174498493,832.3594288128722,830.1844686500899,814.3291655810638,1.0211190367532425e+19,1.1698660035264901e+19,-0.11663546448098527
904.0,0.9988325108204971,1.0,180.0,130.31303179934622,0.0,180.0,65.92159489095211,0.0,0.0,21.430847972631454,0.9988325108204971,0.999311807759181,0.9988486603515274,0.9988282579879693,0.9988317361880852,0.9988350439839174,0.9988485577501259,832.3594151518216,830.1844153098821,814.3291284855324,1.0211190519319341e+19,1.1698659637567855e+19,-0.11674891795029341
905.0,0.9988358328695568,1.0,180.0,130.35655927583576,0.0,180.0,65.84221829771995,0.0,0.0,21.53850194811821,0.9988358328695568,0.9993057761675334,0.9988482213710305,0.9988289562008772,0.9988325251676571,0.9988350101096509,0.9988368908203805,832.359388893258,830.1843641718052,814.3290926286284,1.0211190671107897e+19,1.1698659239832252e+19,-0.11641671304432055
906.0,0.9988347745734183,1.0,180.0,130.39980353713037,0.0,180.0,65.76264635026455,0.0,0.0,21.645899921655655,0.9988347745734183,0.9992998507861934,0.9988478702847197,0.9988298395338435,0.9988337525132622,0.9988372485536061,0.9988507735272264,832.3593790433007,830.1843151010187,814.3290580033682,1.0211190822590032e+19,1.1698658842903638e+19,-0.11652254265817064
907.0,0.9988381735564288,1.0,180.0,130.44300866425039,0.0,180.0,65.6831198066473,0.0,0.0,21.753458753228188,0.9988381735564288,0.999293999402876,0.9988475278667629,0.9988306165796431,0.9988346180075779,0.9988372937190619,0.998839211498391,832.3593566434804,830.1842681906878,814.3290245936324,1.0211190974064079e+19,1.1698658445963233e+19,-0.11618264435712122
908.0,0.9988372045150775,1.0,180.0,130.48593097105623,0.0,180.0,65.60339854955673,0.0,0.0,21.860761284828186,0.9988372045150775,0.9992882530108681,0.9988472729435898,0.9988315792937764,0.9988359238615532,0.9988396153127646,0.9988531790797657,832.3593506950043,830.1842233120371,814.3289923927196,1.0211191125221493e+19,1.1698658049857915e+19,-0.11627954849224853
909.0,0.9988406815645003,1.0,180.0,130.52881292924286,0.0,180.0,65.52372190654278,0.0,0.0,21.968221619725227,0.9988406815645003,0.9992825794409422,0.9988470263692989,0.9988324364317269,0.998836869793566,0.9988397450917279,0.998841700631337,832.3593322211801,830.1841805632463,814.3289613852265,1.0211191276360342e+19,1.1698657653769642e+19,-0.11593184354996566
910.0,0.9988397893527726,1.0,180.0,130.5714124545455,0.0,180.0,65.44385133981704,0.0,0.0,22.07542546093464,0.9988397893527726,0.9992770095639231,0.9988468666410983,0.9988334786854604,0.9988382546229819,0.9988421435312957,0.9988557376687912,832.3593301155645,830.1841398147133,814.3289315652288,1.0211191427173407e+19,1.1698657258541642e+19,-0.11602106472273777
911.0,0.9988433617900468,1.0,180.0,130.61397261470557,0.0,180.0,65.3640267431736,0.0,0.0,22.18278793990612,0.9988433617900468,0.999271511347612,0.9988467149328468,0.9988344159421606,0.9988392811958355,0.9988423581832002,0.9988443541551696,832.3593155183698,830.1841011644112,814.3289029178775,1.0211191577957593e+19,1.1698656863359068e+19,-0.11566382099531536
912.0,0.9988425550619595,1.0,180.0,130.65624935477973,0.0,180.0,65.2840075224638,0.0,0.0,22.289891332387924,0.9988425550619595,0.999266115864536,0.99884665021375,0.9988355404408177,0.9988407517766509,0.9988448546626506,0.9988585251041888,832.3593174159142,830.1840644906057,814.3288754380674,1.0211191728403874e+19,1.1698656469070119e+19,-0.11574449380404861
